date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:45	62224/62224	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Nov%202020%2010:57:47%20GMT	https://mailchi.mp/26ffb0a0fe6d/epiphanygames	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mailchi.mp/26ffb0a0fe6d/epiphanygames.html	(from )
02:57:46	82/82	---M-Z	200	added ('OK')	text/plain	etag:%227689563377240da84a067209ef3178b8:1490617362%22	https://mailchi.mp/robots.txt		(from )
02:57:47	2200/2200	---M-Z	200	added ('OK')	application/javascript	etag:%224b60d3ea13c42468679685c32a1680ac%22	https://chimpstatic.com/mcjs-connected/js/users/69bfc70eb8c53c80b055d8dd1/7cf60f17cee9396e1bb1338fc.js	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/chimpstatic.com/mcjs-connected/js/users/69bfc70eb8c53c80b055d8dd1/7cf60f17cee9396e1bb1338fc.js	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:49	385930/385930	---M--	200	added ('OK')	image/jpeg	etag:%2204d3fe16875951b75ee2532768602374%22	https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/14ba966c-2578-4542-9565-e93832a6fe82.jpg	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/14ba966c-2578-4542-9565-e93832a6fe82.jpg	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:49	173166/173166	---M--	200	added ('OK')	image/jpeg	etag:%22db97e94a16713d6cddf050bbcc68e5dd%22	https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/88e8d85e-d8bd-483e-a0c8-d59857f6d2f5.jpg	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/88e8d85e-d8bd-483e-a0c8-d59857f6d2f5.jpg	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:50	11738/11738	---M-Z	200	added ('OK')	text/css	etag:%222dda-5b3c8a2941c80-gzip%22	https://eep.io/mc-release/1.1.13c5e4092c37528d180aa45527834b45e48af9387/css/signup-forms/pages/common.css	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/eep.io/mc-release/1.1.13c5e4092c37528d180aa45527834b45e48af9387/css/signup-forms/pages/common.css	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:51	2702/2702	---M--	200	added ('OK')	text/html	etag:%2295255f7f483d03f9fbb6bb9ab2dfbee3:1550530143%22	https://mailchi.mp/26ffb0a0fe6d/%22https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/14ba966c-2578-4542-9565-e93832a6fe82.jpg%22	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mailchi.mp/26ffb0a0fe6d/_https_/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/14ba966c-2578-4542-9565-e93832a6fe82.html	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:51	2702/2702	---M--	200	added ('OK')	text/html	etag:%2295255f7f483d03f9fbb6bb9ab2dfbee3:1550530143%22	https://mailchi.mp/26ffb0a0fe6d/%22https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/88e8d85e-d8bd-483e-a0c8-d59857f6d2f5.jpg%22	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mailchi.mp/26ffb0a0fe6d/_https_/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/88e8d85e-d8bd-483e-a0c8-d59857f6d2f5.html	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:52	38664/38664	---M--	200	added ('OK')	image/jpeg	etag:%220e6b59ca62526bc16740a8ffbf733ace%22	https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/ba2d46ee-1cd0-4d49-9ac4-0ce652fe3486.jpeg	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/ba2d46ee-1cd0-4d49-9ac4-0ce652fe3486.jpg	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
02:57:54	114412/114412	---M--	200	added ('OK')	image/jpeg	etag:%22fbb392184019f3e83300a69ad17b32f1%22	https://mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/cb3e8f91-e5cd-46f1-a566-b49f67372bb8.jpg	C:/Users/Dell/Desktop/Epiphanygames/epiphanygam/mcusercontent.com/69bfc70eb8c53c80b055d8dd1/images/cb3e8f91-e5cd-46f1-a566-b49f67372bb8.jpg	(from https://mailchi.mp/26ffb0a0fe6d/epiphanygames)
